gene_symbol,log2fc,pval,padj
EID1,2.3002603,2.1556900122018277e-230,3.502907191728292e-228
SORBS1,5.2372236,1.0416899373804467e-226,1.6517506087721244e-224
TMEM47,3.927862,2.1646665787070067e-225,3.4049339416429732e-223
ACTN4,2.6403067,2.452375229278152e-216,3.737876105276514e-214
SGCA,5.8473964,3.1153925104543124e-214,4.6759425603475337e-212
IGFBP2,4.9798245,1.7743296035855135e-213,2.623072832007396e-211
FILIP1,3.471881,2.404805275905183e-213,3.5286030846901277e-211
PDGFRB,3.6297266,2.032086413454804e-212,2.959620967507286e-210
TPM4,2.1661103,6.550450420667855e-208,9.265824184976358e-206
SBDS,2.1440957,2.066628104425899e-205,2.902431556373002e-203
RCAN2,5.8752017,1.8651902717259387e-199,2.529198008460373e-197
CD9,3.1519456,2.3076224612156674e-199,3.107703618659072e-197
TNS1,3.3745472,3.382275499502713e-199,4.523966045661384e-197
LMCD1,4.05306,5.117213361091055e-195,6.707643273718155e-193
MFAP4,1.8698046,1.2328849655041794e-193,1.6053631915061707e-191
SEPT7,2.082623,4.146523332233946e-189,5.328689003815937e-187
PDLIM5,2.5592482,2.7908077897957316e-188,3.5401846943847532e-186
TLN1,2.2838757,1.0250039676224464e-187,1.291899231499522e-185
PFN2,3.304762,1.2180219720758612e-187,1.5253979627360244e-185
CCDC107,2.1582234,1.5130565984646343e-186,1.8828935974058e-184
C9orf3,3.2095497,7.87135464120167e-179,9.436986277762636e-177
ID3,1.5880957,1.021710040642672e-178,1.217506837522195e-176
PTMS,2.0275915,1.3195361579754197e-178,1.5629349360308856e-176
TCEAL3,2.6925712,6.49666217861519e-178,7.648944416522867e-176
COL18A1,4.0407023,2.2373820397252773e-175,2.618536051492762e-173
CFL2,2.939536,1.1901168175005428e-172,1.3604695852148647e-170
SH3BGRL,1.7033459,1.791770580527984e-169,2.024700755996622e-167
CKB,2.7363372,2.9389549018569504e-169,3.3020417874463635e-167
CDH13,4.8846703,3.9416300925859588e-168,4.353951173057591e-166
RBPMS,3.257548,5.550404864599527e-166,6.096763153505916e-164
CNN3,1.6717197,1.1460001677574464e-164,1.2518141832470506e-162
MT1E,5.5907454,5.3067399910315945e-164,5.764702856555979e-162
PEBP1,1.6193305,7.395424944795772e-164,7.989496992559037e-162
MAGED2,2.0955489,7.706811230764746e-163,8.280400132201991e-161
TM4SF1,1.189459,8.770941673932218e-159,9.321851632046231e-157
COL4A2,3.476294,6.055864639828434e-158,6.401634975715413e-156
CARMN,6.638128,9.461057089352832e-156,9.89485662185401e-154
CTGF,2.4426992,3.7373897145075904e-153,3.807489977546541e-151
IFITM3,2.3225424,3.071954657974299e-150,3.0974755120559316e-148
CAVIN3,4.3288302,2.014436450552512e-149,2.0105507355717508e-147
TNFRSF12A,2.6980317,2.0874527569984263e-148,2.062487241613219e-146
SELENOM,4.381222,9.92831360696884e-148,9.711965280608026e-146
KANK2,3.1425753,2.0026516971448054e-147,1.9493137460030278e-145
FERMT2,2.415584,1.3176801339529739e-146,1.2700111173423222e-144
SKP1,2.1028721,5.7146744707554e-146,5.454462594368576e-144
RHOB,1.7320973,1.1597485722166452e-145,1.1015930641025932e-143
TTLL7,5.150368,1.4463881687262358e-145,1.3672540468026562e-143
PKIG,2.346791,1.7300255208656902e-145,1.6275484110651292e-143
ESD,1.6023635,4.644946761873737e-145,4.328385935164048e-143
ESAM,2.6309009,1.6373526658947783e-144,1.518567364001091e-142
FMO2,2.7544715,9.062964047189282e-143,8.366009347222332e-141
VCL,2.961615,8.588558296918974e-141,7.854336429489342e-139
GMDS,3.902799,2.4255942136218496e-140,2.2079645105663335e-138
NOTCH3,5.6867948,4.402095359793026e-140,3.988663546739654e-138
HSPB7,6.004481,7.143462192136489e-140,6.442878606504021e-138
HACD1,4.359901,1.8056755411411335e-139,1.621150342005341e-137
MT1M,2.0412085,5.0736830225577705e-138,4.513970841155244e-136
CAMTA1,1.7157104,5.411188692684066e-138,4.792558201601536e-136
PPDPF,1.7931582,3.5065297375061117e-137,3.0779190936984453e-135
C2orf40,4.297285,7.915209967088868e-137,6.916838149906726e-135
FRZB,6.2364354,9.621328614012648e-137,8.370555894191004e-135
CRIM1,2.4272764,2.0688081615397517e-136,1.7919341882024051e-134
ADAMTS1,2.0612016,4.501703544881477e-135,3.8821269780464734e-133
